"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","200",".39%","95.24%","10",".25%","4.76%","210",".38%"
"Appling County","114",".22%","95.80%","5",".13%","4.20%","119",".22%"
"Atkinson County","59",".12%","89.39%","7",".18%","10.61%","66",".12%"
"Bacon County","83",".16%","89.25%","10",".25%","10.75%","93",".17%"
"Baker County","12",".02%","85.71%","2",".05%","14.29%","14",".03%"
"Baldwin County","324",".63%","92.84%","25",".63%","7.16%","349",".63%"
"Banks County","73",".14%","92.41%","6",".15%","7.59%","79",".14%"
"Barrow County","355",".69%","91.26%","34",".85%","8.74%","389",".70%"
"Bartow County","624","1.22%","87.89%","86","2.16%","12.11%","710","1.29%"
"Ben Hill County","260",".51%","93.19%","19",".48%","6.81%","279",".51%"
"Berrien County","90",".18%","97.83%","2",".05%","2.17%","92",".17%"
"Bibb County","1,157","2.26%","94.07%","73","1.83%","5.93%","1,230","2.23%"
"Bleckley County","71",".14%","93.42%","5",".13%","6.58%","76",".14%"
"Brantley County","79",".15%","82.29%","17",".43%","17.71%","96",".17%"
"Brooks County","50",".10%","98.04%","1",".03%","1.96%","51",".09%"
"Bryan County","55",".11%","94.83%","3",".08%","5.17%","58",".10%"
"Bulloch County","526","1.03%","92.28%","44","1.10%","7.72%","570","1.03%"
"Burke County","236",".46%","96.33%","9",".23%","3.67%","245",".44%"
"Butts County","119",".23%","93.70%","8",".20%","6.30%","127",".23%"
"Calhoun County","29",".06%","87.88%","4",".10%","12.12%","33",".06%"
"Camden County","204",".40%","92.73%","16",".40%","7.27%","220",".40%"
"Candler County","111",".22%","93.28%","8",".20%","6.72%","119",".22%"
"Carroll County","650","1.27%","91.94%","57","1.43%","8.06%","707","1.28%"
"Catoosa County","364",".71%","90.10%","40","1.00%","9.90%","404",".73%"
"Charlton County","60",".12%","92.31%","5",".13%","7.69%","65",".12%"
"Chatham County","1,931","3.77%","94.70%","108","2.71%","5.30%","2,039","3.69%"
"Chattahoochee County","26",".05%","100.00%","","","","26",".05%"
"Chattooga County","228",".44%","87.36%","33",".83%","12.64%","261",".47%"
"Cherokee County","573","1.12%","92.72%","45","1.13%","7.28%","618","1.12%"
"Clarke County","581","1.13%","92.96%","44","1.10%","7.04%","625","1.13%"
"Clay County","27",".05%","87.10%","4",".10%","12.90%","31",".06%"
"Clayton County","1,435","2.80%","93.79%","95","2.38%","6.21%","1,530","2.77%"
"Clinch County","45",".09%","88.24%","6",".15%","11.76%","51",".09%"
"Cobb County","2,568","5.01%","92.01%","223","5.59%","7.99%","2,791","5.05%"
"Coffee County","223",".44%","93.31%","16",".40%","6.69%","239",".43%"
"Colquitt County","217",".42%","95.59%","10",".25%","4.41%","227",".41%"
"Columbia County","432",".84%","90.76%","44","1.10%","9.24%","476",".86%"
"Cook County","116",".23%","95.08%","6",".15%","4.92%","122",".22%"
"Coweta County","652","1.27%","92.48%","53","1.33%","7.52%","705","1.28%"
"Crawford County","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Crisp County","323",".63%","93.90%","21",".53%","6.10%","344",".62%"
"Dade County","105",".20%","91.30%","10",".25%","8.70%","115",".21%"
"Dawson County","94",".18%","87.85%","13",".33%","12.15%","107",".19%"
"Decatur County","237",".46%","94.80%","13",".33%","5.20%","250",".45%"
"Dekalb County","2,973","5.80%","95.11%","153","3.84%","4.89%","3,126","5.66%"
"Dodge County","147",".29%","93.63%","10",".25%","6.37%","157",".28%"
"Dooly County","113",".22%","94.96%","6",".15%","5.04%","119",".22%"
"Dougherty County","822","1.60%","94.70%","46","1.15%","5.30%","868","1.57%"
"Douglas County","1,042","2.03%","90.77%","106","2.66%","9.23%","1,148","2.08%"
"Early County","88",".17%","95.65%","4",".10%","4.35%","92",".17%"
"Echols County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"Effingham County","254",".50%","91.04%","25",".63%","8.96%","279",".51%"
"Elbert County","142",".28%","93.42%","10",".25%","6.58%","152",".28%"
"Emanuel County","174",".34%","91.10%","17",".43%","8.90%","191",".35%"
"Evans County","88",".17%","93.62%","6",".15%","6.38%","94",".17%"
"Fannin County","106",".21%","86.18%","17",".43%","13.82%","123",".22%"
"Fayette County","331",".65%","89.95%","37",".93%","10.05%","368",".67%"
"Floyd County","891","1.74%","90.92%","89","2.23%","9.08%","980","1.77%"
"Forsyth County","354",".69%","92.19%","30",".75%","7.81%","384",".70%"
"Franklin County","161",".31%","87.98%","22",".55%","12.02%","183",".33%"
