"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Appling","93",".19%","94.90%","5",".15%","5.10%","98",".19%"
"Atkinson","37",".08%","94.87%","2",".06%","5.13%","39",".08%"
"Bacon","55",".12%","100.00%","","","","55",".11%"
"Baker","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Baldwin","354",".74%","95.42%","17",".49%","4.58%","371",".72%"
"Banks","73",".15%","91.25%","7",".20%","8.75%","80",".16%"
"Barrow","238",".50%","95.20%","12",".35%","4.80%","250",".49%"
"Bartow","517","1.08%","87.78%","72","2.09%","12.22%","589","1.15%"
"Ben Hill","233",".49%","95.10%","12",".35%","4.90%","245",".48%"
"Berrien","77",".16%","87.50%","11",".32%","12.50%","88",".17%"
"Bibb","1,008","2.11%","94.56%","58","1.68%","5.44%","1,066","2.08%"
"Bleckley","99",".21%","91.67%","9",".26%","8.33%","108",".21%"
"Brantley","53",".11%","94.64%","3",".09%","5.36%","56",".11%"
"Brooks","64",".13%","100.00%","","","","64",".12%"
"Bryan","107",".22%","90.68%","11",".32%","9.32%","118",".23%"
"Bulloch","457",".96%","94.23%","28",".81%","5.77%","485",".95%"
"Burke","205",".43%","95.79%","9",".26%","4.21%","214",".42%"
"Butts","141",".29%","95.92%","6",".17%","4.08%","147",".29%"
"Calhoun","35",".07%","92.11%","3",".09%","7.89%","38",".07%"
"Camden","124",".26%","94.66%","7",".20%","5.34%","131",".26%"
"Candler","83",".17%","97.65%","2",".06%","2.35%","85",".17%"
"Carroll","560","1.17%","91.06%","55","1.60%","8.94%","615","1.20%"
"Catoosa","251",".53%","91.61%","23",".67%","8.39%","274",".53%"
"Charlton","57",".12%","93.44%","4",".12%","6.56%","61",".12%"
"Chatham","2,338","4.89%","94.20%","144","4.18%","5.80%","2,482","4.84%"
"Chattahoochee","28",".06%","96.55%","1",".03%","3.45%","29",".06%"
"Chattooga","211",".44%","86.48%","33",".96%","13.52%","244",".48%"
"Cherokee","541","1.13%","92.01%","47","1.36%","7.99%","588","1.15%"
"Clarke","486","1.02%","93.82%","32",".93%","6.18%","518","1.01%"
"Clay","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Clayton","1,561","3.27%","92.48%","127","3.69%","7.52%","1,688","3.29%"
"Clinch","50",".10%","92.59%","4",".12%","7.41%","54",".11%"
"Cobb","2,576","5.39%","91.22%","248","7.20%","8.78%","2,824","5.51%"
"Coffee","218",".46%","90.83%","22",".64%","9.17%","240",".47%"
"Colquitt","298",".62%","97.07%","9",".26%","2.93%","307",".60%"
"Columbia","267",".56%","92.39%","22",".64%","7.61%","289",".56%"
"Cook","137",".29%","94.48%","8",".23%","5.52%","145",".28%"
"Coweta","514","1.08%","94.31%","31",".90%","5.69%","545","1.06%"
"Crawford","19",".04%","86.36%","3",".09%","13.64%","22",".04%"
"Crisp","291",".61%","90.37%","31",".90%","9.63%","322",".63%"
"Dade","125",".26%","91.24%","12",".35%","8.76%","137",".27%"
"Dawson","88",".18%","91.67%","8",".23%","8.33%","96",".19%"
"Decatur","265",".55%","92.98%","20",".58%","7.02%","285",".56%"
"Dekalb","3,054","6.39%","95.02%","160","4.64%","4.98%","3,214","6.27%"
"Dodge","163",".34%","93.68%","11",".32%","6.32%","174",".34%"
"Dooly","105",".22%","95.45%","5",".15%","4.55%","110",".21%"
"Dougherty","946","1.98%","93.85%","62","1.80%","6.15%","1,008","1.97%"
"Douglas","1,076","2.25%","89.97%","120","3.48%","10.03%","1,196","2.33%"
"Early","76",".16%","96.20%","3",".09%","3.80%","79",".15%"
"Echols","12",".03%","100.00%","","","","12",".02%"
"Effingham","161",".34%","89.44%","19",".55%","10.56%","180",".35%"
"Elbert","159",".33%","92.98%","12",".35%","7.02%","171",".33%"
"Emanuel","165",".35%","96.49%","6",".17%","3.51%","171",".33%"
"Evans","76",".16%","91.57%","7",".20%","8.43%","83",".16%"
"Fannin","105",".22%","92.11%","9",".26%","7.89%","114",".22%"
"Fayette","273",".57%","91.61%","25",".73%","8.39%","298",".58%"
"Floyd","798","1.67%","90.17%","87","2.52%","9.83%","885","1.73%"
"Forsyth","262",".55%","90.34%","28",".81%","9.66%","290",".57%"
"Franklin","131",".27%","90.34%","14",".41%","9.66%","145",".28%"
"Fulton","4,342","9.08%","96.40%","162","4.70%","3.60%","4,504","8.79%"
"Gilmer","125",".26%","88.03%","17",".49%","11.97%","142",".28%"
"Glascock","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"Glynn","448",".94%","96.14%","18",".52%","3.86%","466",".91%"
"Gordon","288",".60%","88.07%","39","1.13%","11.93%","327",".64%"
"Grady","218",".46%","92.37%","18",".52%","7.63%","236",".46%"
"Greene","97",".20%","96.04%","4",".12%","3.96%","101",".20%"
"Gwinnett","1,511","3.16%","92.64%","120","3.48%","7.36%","1,631","3.18%"
"Habersham","126",".26%","88.73%","16",".46%","11.27%","142",".28%"
"Hall","738","1.54%","92.37%","61","1.77%","7.63%","799","1.56%"
"Hancock","41",".09%","95.35%","2",".06%","4.65%","43",".08%"
"Haralson","83",".17%","95.40%","4",".12%","4.60%","87",".17%"
"Harris","95",".20%","95.96%","4",".12%","4.04%","99",".19%"
