"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Lamar County","83",".16%","93.26%","6",".16%","6.74%","89",".16%"
"Lanier County","42",".08%","95.45%","2",".05%","4.55%","44",".08%"
"Laurens County","296",".58%","93.97%","19",".51%","6.03%","315",".57%"
"Lee County","68",".13%","94.44%","4",".11%","5.56%","72",".13%"
"Liberty County","302",".59%","92.92%","23",".61%","7.08%","325",".59%"
"Lincoln County","23",".04%","100.00%","","","","23",".04%"
"Long County","79",".15%","96.34%","3",".08%","3.66%","82",".15%"
"Lowndes County","533","1.04%","93.84%","35",".94%","6.16%","568","1.03%"
"Lumpkin County","99",".19%","87.61%","14",".37%","12.39%","113",".21%"
"Macon County","69",".13%","97.18%","2",".05%","2.82%","71",".13%"
"Madison County","117",".23%","95.12%","6",".16%","4.88%","123",".22%"
"Marion County","39",".08%","95.12%","2",".05%","4.88%","41",".07%"
"Mcduffie County","185",".36%","93.91%","12",".32%","6.09%","197",".36%"
"Mcintosh County","65",".13%","100.00%","","","","65",".12%"
"Meriwether County","223",".43%","96.54%","8",".21%","3.46%","231",".42%"
"Miller County","34",".07%","100.00%","","","","34",".06%"
"Mitchell County","207",".40%","93.67%","14",".37%","6.33%","221",".40%"
"Monroe County","170",".33%","91.89%","15",".40%","8.11%","185",".34%"
"Montgomery County","47",".09%","94.00%","3",".08%","6.00%","50",".09%"
"Morgan County","143",".28%","91.08%","14",".37%","8.92%","157",".29%"
"Murray County","191",".37%","92.72%","15",".40%","7.28%","206",".37%"
"Muscogee County","1,580","3.08%","95.18%","80","2.14%","4.82%","1,660","3.01%"
"Newton County","651","1.27%","91.95%","57","1.52%","8.05%","708","1.29%"
"Oconee County","55",".11%","94.83%","3",".08%","5.17%","58",".11%"
"Oglethorpe County","60",".12%","98.36%","1",".03%","1.64%","61",".11%"
"Paulding County","276",".54%","93.88%","18",".48%","6.12%","294",".53%"
"Peach County","73",".14%","97.33%","2",".05%","2.67%","75",".14%"
"Pickens County","110",".21%","90.91%","11",".29%","9.09%","121",".22%"
"Pierce County","73",".14%","96.05%","3",".08%","3.95%","76",".14%"
"Pike County","55",".11%","90.16%","6",".16%","9.84%","61",".11%"
"Polk County","154",".30%","93.90%","10",".27%","6.10%","164",".30%"
"Pulaski County","73",".14%","94.81%","4",".11%","5.19%","77",".14%"
"Putnam County","160",".31%","95.81%","7",".19%","4.19%","167",".30%"
"Quitman County","21",".04%","100.00%","","","","21",".04%"
"Rabun County","45",".09%","84.91%","8",".21%","15.09%","53",".10%"
"Randolph County","68",".13%","97.14%","2",".05%","2.86%","70",".13%"
"Richmond County","1,828","3.56%","94.72%","102","2.73%","5.28%","1,930","3.50%"
"Rockdale County","461",".90%","92.20%","39","1.04%","7.80%","500",".91%"
"Schley County","16",".03%","100.00%","","","","16",".03%"
"Screven County","130",".25%","97.01%","4",".11%","2.99%","134",".24%"
"Seminole County","57",".11%","89.06%","7",".19%","10.94%","64",".12%"
"Spalding County","538","1.05%","90.73%","55","1.47%","9.27%","593","1.08%"
"Stephens County","179",".35%","92.27%","15",".40%","7.73%","194",".35%"
"Stewart County","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"Sumter County","222",".43%","95.69%","10",".27%","4.31%","232",".42%"
"Talbot County","59",".11%","98.33%","1",".03%","1.67%","60",".11%"
"Taliaferro County","24",".05%","88.89%","3",".08%","11.11%","27",".05%"
"Tattnall County","191",".37%","94.55%","11",".29%","5.45%","202",".37%"
"Taylor County","85",".17%","92.39%","7",".19%","7.61%","92",".17%"
"Telfair County","95",".19%","88.79%","12",".32%","11.21%","107",".19%"
"Terrell County","85",".17%","97.70%","2",".05%","2.30%","87",".16%"
"Thomas County","237",".46%","95.18%","12",".32%","4.82%","249",".45%"
"Tift County","288",".56%","95.68%","13",".35%","4.32%","301",".55%"
"Toombs County","367",".71%","91.29%","35",".94%","8.71%","402",".73%"
"Towns County","49",".10%","85.96%","8",".21%","14.04%","57",".10%"
"Treutlen County","76",".15%","97.44%","2",".05%","2.56%","78",".14%"
"Troup County","662","1.29%","92.98%","50","1.34%","7.02%","712","1.29%"
"Turner County","69",".13%","94.52%","4",".11%","5.48%","73",".13%"
"Twiggs County","62",".12%","95.38%","3",".08%","4.62%","65",".12%"
"Union County","83",".16%","90.22%","9",".24%","9.78%","92",".17%"
"Upson County","175",".34%","94.09%","11",".29%","5.91%","186",".34%"
"Walker County","404",".79%","92.03%","35",".94%","7.97%","439",".80%"
"Walton County","437",".85%","90.66%","45","1.20%","9.34%","482",".88%"
"Ware County","297",".58%","91.95%","26",".69%","8.05%","323",".59%"
"Warren County","44",".09%","93.62%","3",".08%","6.38%","47",".09%"
"Washington County","147",".29%","89.63%","17",".45%","10.37%","164",".30%"
"Wayne County","135",".26%","91.22%","13",".35%","8.78%","148",".27%"
"Webster County","5",".01%","100.00%","","","","5",".01%"
"Wheeler County","29",".06%","82.86%","6",".16%","17.14%","35",".06%"
"White County","99",".19%","90.83%","10",".27%","9.17%","109",".20%"
"Whitfield County","600","1.17%","87.85%","83","2.22%","12.15%","683","1.24%"
"Wilcox County","51",".10%","83.61%","10",".27%","16.39%","61",".11%"
"Wilkes County","66",".13%","91.67%","6",".16%","8.33%","72",".13%"
"Wilkinson County","48",".09%","96.00%","2",".05%","4.00%","50",".09%"
"Worth County","109",".21%","94.78%","6",".16%","5.22%","115",".21%"
"Total Reported","51,333","100%","93.21%","3,742","100%","6.79%","55,075","100%"
"Not Reported","0",,,"0",,,"0",
"Grand Total","51,333",,,"3,742",,,"55,075",
