"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Appling","97",".20%","94.17%","6",".16%","5.83%","103",".20%"
"Atkinson","43",".09%","93.48%","3",".08%","6.52%","46",".09%"
"Bacon","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"Baker","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Baldwin","354",".72%","94.91%","19",".52%","5.09%","373",".71%"
"Banks","63",".13%","90.00%","7",".19%","10.00%","70",".13%"
"Barrow","260",".53%","93.53%","18",".49%","6.47%","278",".53%"
"Bartow","570","1.16%","89.76%","65","1.77%","10.24%","635","1.21%"
"Ben Hill","264",".54%","94.29%","16",".44%","5.71%","280",".53%"
"Berrien","89",".18%","92.71%","7",".19%","7.29%","96",".18%"
"Bibb","1,040","2.12%","94.29%","63","1.72%","5.71%","1,103","2.10%"
"Bleckley","79",".16%","87.78%","11",".30%","12.22%","90",".17%"
"Brantley","59",".12%","95.16%","3",".08%","4.84%","62",".12%"
"Brooks","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"Bryan","97",".20%","95.10%","5",".14%","4.90%","102",".19%"
"Bulloch","457",".93%","92.51%","37","1.01%","7.49%","494",".94%"
"Burke","204",".42%","94.44%","12",".33%","5.56%","216",".41%"
"Butts","133",".27%","93.66%","9",".25%","6.34%","142",".27%"
"Calhoun","32",".07%","91.43%","3",".08%","8.57%","35",".07%"
"Camden","144",".29%","94.74%","8",".22%","5.26%","152",".29%"
"Candler","80",".16%","88.89%","10",".27%","11.11%","90",".17%"
"Carroll","549","1.12%","90.15%","60","1.63%","9.85%","609","1.16%"
"Catoosa","280",".57%","89.46%","33",".90%","10.54%","313",".59%"
"Charlton","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"Chatham","2,371","4.84%","94.58%","136","3.70%","5.42%","2,507","4.76%"
"Chattahoochee","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"Chattooga","237",".48%","89.77%","27",".74%","10.23%","264",".50%"
"Cherokee","545","1.11%","90.68%","56","1.52%","9.32%","601","1.14%"
"Clarke","404",".83%","94.84%","22",".60%","5.16%","426",".81%"
"Clay","27",".06%","93.10%","2",".05%","6.90%","29",".06%"
"Clayton","1,459","2.98%","92.81%","113","3.08%","7.19%","1,572","2.99%"
"Clinch","47",".10%","95.92%","2",".05%","4.08%","49",".09%"
"Cobb","2,834","5.79%","90.98%","281","7.65%","9.02%","3,115","5.92%"
"Coffee","231",".47%","93.52%","16",".44%","6.48%","247",".47%"
"Colquitt","334",".68%","93.82%","22",".60%","6.18%","356",".68%"
"Columbia","291",".59%","91.51%","27",".74%","8.49%","318",".60%"
"Cook","140",".29%","93.33%","10",".27%","6.67%","150",".29%"
"Coweta","542","1.11%","93.13%","40","1.09%","6.87%","582","1.11%"
"Crawford","24",".05%","88.89%","3",".08%","11.11%","27",".05%"
"Crisp","276",".56%","95.50%","13",".35%","4.50%","289",".55%"
"Dade","143",".29%","95.33%","7",".19%","4.67%","150",".29%"
"Dawson","95",".19%","87.96%","13",".35%","12.04%","108",".21%"
"Decatur","312",".64%","92.58%","25",".68%","7.42%","337",".64%"
"Dekalb","2,831","5.78%","94.87%","153","4.17%","5.13%","2,984","5.67%"
"Dodge","169",".35%","92.86%","13",".35%","7.14%","182",".35%"
"Dooly","111",".23%","95.69%","5",".14%","4.31%","116",".22%"
"Dougherty","962","1.97%","94.13%","60","1.63%","5.87%","1,022","1.94%"
"Douglas","1,065","2.18%","91.18%","103","2.80%","8.82%","1,168","2.22%"
"Early","78",".16%","98.73%","1",".03%","1.27%","79",".15%"
"Echols","8",".02%","100.00%","","","","8",".02%"
"Effingham","141",".29%","93.38%","10",".27%","6.62%","151",".29%"
"Elbert","153",".31%","96.84%","5",".14%","3.16%","158",".30%"
"Emanuel","166",".34%","96.51%","6",".16%","3.49%","172",".33%"
"Evans","95",".19%","97.94%","2",".05%","2.06%","97",".18%"
"Fannin","99",".20%","90.83%","10",".27%","9.17%","109",".21%"
"Fayette","380",".78%","89.62%","44","1.20%","10.38%","424",".81%"
"Floyd","831","1.70%","88.88%","104","2.83%","11.12%","935","1.78%"
