"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,451","31.86%","89.32%","1,967","52.55%","10.68%","18,418","33.26%"
"Black","32,655","63.24%","95.11%","1,680","44.88%","4.89%","34,335","62.00%"
"Other","48",".09%","87.27%","7",".19%","12.73%","55",".10%"
"Asian","132",".26%","96.35%","5",".13%","3.65%","137",".25%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,324","4.50%","96.75%","78","2.08%","3.25%","2,402","4.34%"
"Native American","26",".05%","83.87%","5",".13%","16.13%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","51,637","100%","93.24%","3,743","100%","6.76%","55,380","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,637","","","3,743","","","55,380",""
