"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,310","31.74%","89.29%","1,956","52.68%","10.71%","18,266","33.16%"
"Black","32,522","63.30%","95.15%","1,658","44.65%","4.85%","34,180","62.04%"
"Other","48",".09%","88.89%","6",".16%","11.11%","54",".10%"
"Asian","129",".25%","96.27%","5",".13%","3.73%","134",".24%"
"Hispanic","2,344","4.56%","96.62%","82","2.21%","3.38%","2,426","4.40%"
"Native American","26",".05%","83.87%","5",".13%","16.13%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","51,379","100%","93.26%","3,713","100%","6.74%","55,092","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,379","","","3,713","","","55,092",""
