"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,224","33.95%","88.56%","2,225","58.02%","11.44%","19,449","35.64%"
"Black","31,265","61.63%","95.31%","1,537","40.08%","4.69%","32,802","60.11%"
"Other","58",".11%","87.88%","8",".21%","12.12%","66",".12%"
"Asian","181",".36%","95.26%","9",".23%","4.74%","190",".35%"
"Unknown","8",".02%","72.73%","3",".08%","27.27%","11",".02%"
"Hispanic","1,976","3.89%","97.48%","51","1.33%","2.52%","2,027","3.71%"
"Native American","21",".04%","91.30%","2",".05%","8.70%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,734","100%","92.97%","3,835","100%","7.03%","54,569","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,734","","","3,835","","","54,569",""
