"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,701","35.17%","89.00%","1,940","59.36%","11.00%","17,641","36.82%"
"Black","26,870","60.18%","95.50%","1,265","38.71%","4.50%","28,135","58.72%"
"Other","4",".01%","50.00%","4",".12%","50.00%","8",".02%"
"Asian","152",".34%","93.83%","10",".31%","6.17%","162",".34%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,898","4.25%","97.48%","49","1.50%","2.52%","1,947","4.06%"
"Native American","23",".05%","100.00%","0","0%","0%","23",".05%"
"Total Reported","44,649","100%","93.18%","3,268","100%","6.82%","47,917","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,649","","","3,268","","","47,917",""
