"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,990","32.06%","89.19%","2,060","52.66%","10.81%","19,050","33.47%"
"Black","33,386","62.99%","95.03%","1,745","44.61%","4.97%","35,131","61.73%"
"Other","49",".09%","84.48%","9",".23%","15.52%","58",".10%"
"Asian","149",".28%","96.13%","6",".15%","3.87%","155",".27%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,402","4.53%","96.54%","86","2.20%","3.46%","2,488","4.37%"
"Native American","24",".05%","82.76%","5",".13%","17.24%","29",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","53,002","100%","93.13%","3,912","100%","6.87%","56,914","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,002","","","3,912","","","56,914",""
