"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,932","32.32%","89.05%","2,082","53.91%","10.95%","19,014","33.81%"
"Black","32,900","62.81%","95.11%","1,692","43.81%","4.89%","34,592","61.50%"
"Other","48",".09%","88.89%","6",".16%","11.11%","54",".10%"
"Asian","148",".28%","94.27%","9",".23%","5.73%","157",".28%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,324","4.44%","97.08%","70","1.81%","2.92%","2,394","4.26%"
"Native American","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"Total Reported","52,384","100%","93.13%","3,862","100%","6.87%","56,246","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","52,384","","","3,862","","","56,246",""
