"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,236","35.08%","88.25%","2,161","60.08%","11.75%","18,397","36.88%"
"Black","27,849","60.17%","95.33%","1,363","37.89%","4.67%","29,212","58.56%"
"Other","12",".03%","70.59%","5",".14%","29.41%","17",".03%"
"Asian","153",".33%","93.29%","11",".31%","6.71%","164",".33%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,010","4.34%","97.38%","54","1.50%","2.62%","2,064","4.14%"
"Native American","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","46,286","100%","92.79%","3,597","100%","7.21%","49,883","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","46,286","","","3,597","","","49,883",""
