"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,146","35.02%","88.38%","2,122","59.71%","11.62%","18,268","36.78%"
"Black","27,763","60.21%","95.33%","1,360","38.27%","4.67%","29,123","58.64%"
"Other","11",".02%","68.75%","5",".14%","31.25%","16",".03%"
"Asian","155",".34%","93.37%","11",".31%","6.63%","166",".33%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,008","4.35%","97.43%","53","1.49%","2.57%","2,061","4.15%"
"Native American","26",".06%","92.86%","2",".06%","7.14%","28",".06%"
"Native Hawaiian","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Total Reported","46,111","100%","92.84%","3,554","100%","7.16%","49,665","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","46,111","","","3,554","","","49,665",""
