"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,630","35.16%","89.26%","1,881","58.82%","10.74%","17,511","36.75%"
"Black","26,757","60.19%","95.51%","1,259","39.37%","4.49%","28,016","58.79%"
"Other","3",".01%","100.00%","0","0%","0%","3",".01%"
"Asian","154",".35%","94.48%","9",".28%","5.52%","163",".34%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,891","4.25%","97.52%","48","1.50%","2.48%","1,939","4.07%"
"Native American","21",".05%","95.45%","1",".03%","4.55%","22",".05%"
"Total Reported","44,457","100%","93.29%","3,198","100%","6.71%","47,655","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,457","","","3,198","","","47,655",""
