"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,619","31.76%","88.75%","1,980","52.94%","11.25%","17,599","33.26%"
"Black","31,179","63.40%","94.90%","1,677","44.84%","5.10%","32,856","62.09%"
"Other 1","52",".11%","92.86%","4",".11%","7.14%","56",".11%"
"Asian","109",".22%","96.46%","4",".11%","3.54%","113",".21%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,192","4.46%","96.95%","69","1.84%","3.05%","2,261","4.27%"
"Native American","27",".05%","87.10%","4",".11%","12.90%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,179","100%","92.93%","3,740","100%","7.07%","52,919","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,179","","","3,740","","","52,919",""
