"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,931","32.14%","87.88%","2,197","54.71%","12.12%","18,128","33.83%"
"Black","30,643","61.81%","94.62%","1,742","43.38%","5.38%","32,385","60.43%"
"Other","26","0.05%","86.67%","4","0.1%","13.33%","30","0.06%"
"Asian","175","0.35%","94.59%","10","0.25%","5.41%","185","0.35%"
"Unknown","5","0.01%","100.0%","0","0%","0%","5","0.01%"
"Hispanic","2,754","5.56%","97.9%","59","1.47%","2.1%","2,813","5.25%"
"Native American","37","0.07%","90.24%","4","0.1%","9.76%","41","0.08%"
"Native Hawaiian","3","0.01%","100.0%","0","0%","0%","3","0.01%"
"Total Reported","49,574","100.00%","92.51%","4,016","100.00%","7.49%","53,590","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,574","","","4,016","","","53,590",""
