"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,607","31.97%","89.26%","1,998","52.73%","10.74%","18,605","33.38%"
"Black","32,768","63.08%","95.10%","1,688","44.55%","4.90%","34,456","61.82%"
"Other","46",".09%","86.79%","7",".18%","13.21%","53",".10%"
"Asian","133",".26%","95.68%","6",".16%","4.32%","139",".25%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,363","4.55%","96.57%","84","2.22%","3.43%","2,447","4.39%"
"Native American","24",".05%","82.76%","5",".13%","17.24%","29",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","51,943","100%","93.2%","3,789","100%","6.8%","55,732","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,943","","","3,789","","","55,732",""
