"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,188","32.56%","89.34%","1,932","54.62%","10.66%","18,120","34.03%"
"Black","31,189","62.73%","95.34%","1,525","43.12%","4.66%","32,714","61.43%"
"Other","45",".09%","88.24%","6",".17%","11.76%","51",".10%"
"Asian","162",".33%","91.53%","15",".42%","8.47%","177",".33%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,103","4.23%","97.32%","58","1.64%","2.68%","2,161","4.06%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,716","100%","93.36%","3,537","100%","6.64%","53,253","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,716","","","3,537","","","53,253",""
