"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,589","32.24%","89.44%","2,077","53.12%","10.56%","19,666","33.64%"
"Black","34,286","62.85%","95.18%","1,738","44.45%","4.82%","36,024","61.62%"
"Other","47",".09%","85.45%","8",".20%","14.55%","55",".09%"
"Asian","156",".29%","96.89%","5",".13%","3.11%","161",".28%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,448","4.49%","96.99%","76","1.94%","3.01%","2,524","4.32%"
"Native American","27",".05%","84.38%","5",".13%","15.63%","32",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","54,556","100%","93.31%","3,910","100%","6.69%","58,466","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","54,556","","","3,910","","","58,466",""
