"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,136","34.03%","88.64%","2,196","57.99%","11.36%","19,332","35.70%"
"Black","31,020","61.60%","95.33%","1,520","40.14%","4.67%","32,540","60.10%"
"Other","55",".11%","88.71%","7",".18%","11.29%","62",".11%"
"Asian","175",".35%","96.15%","7",".18%","3.85%","182",".34%"
"Unknown","12",".02%","80.00%","3",".08%","20.00%","15",".03%"
"Hispanic","1,938","3.85%","97.34%","53","1.40%","2.66%","1,991","3.68%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,359","100%","93.01%","3,787","100%","6.99%","54,146","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,359","","","3,787","","","54,146",""
