"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,356","32.31%","89.39%","1,941","53.77%","10.61%","18,297","33.74%"
"Black","31,860","62.93%","95.28%","1,577","43.68%","4.72%","33,437","61.65%"
"Other","36",".07%","76.60%","11",".30%","23.40%","47",".09%"
"Asian","139",".27%","91.45%","13",".36%","8.55%","152",".28%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,209","4.36%","97.23%","63","1.75%","2.77%","2,272","4.19%"
"Native American","22",".04%","84.62%","4",".11%","15.38%","26",".05%"
"Total Reported","50,624","100%","93.34%","3,610","100%","6.66%","54,234","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,624","","","3,610","","","54,234",""
