"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","14,711","33.92%","89.43%","1,738","59.00%","10.57%","16,449","35.52%"
"Black","26,607","61.35%","95.85%","1,153","39.14%","4.15%","27,760","59.94%"
"Other","11",".03%","84.62%","2",".07%","15.38%","13",".03%"
"Asian","142",".33%","95.95%","6",".20%","4.05%","148",".32%"
"Unknown","4",".01%","100.00%","0","0%","0%","4",".01%"
"Hispanic","1,869","4.31%","97.65%","45","1.53%","2.35%","1,914","4.13%"
"Native American","25",".06%","92.59%","2",".07%","7.41%","27",".06%"
"Total Reported","43,369","100%","93.64%","2,946","100%","6.36%","46,315","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,369","","","2,946","","","46,315",""
