"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,395","32.20%","89.43%","1,938","53.70%","10.57%","18,333","33.62%"
"Black","32,043","62.93%","95.30%","1,581","43.81%","4.70%","33,624","61.67%"
"Other","36",".07%","80.00%","9",".25%","20.00%","45",".08%"
"Asian","137",".27%","90.73%","14",".39%","9.27%","151",".28%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,281","4.48%","97.35%","62","1.72%","2.65%","2,343","4.30%"
"Native American","24",".05%","85.71%","4",".11%","14.29%","28",".05%"
"Total Reported","50,917","100%","93.38%","3,609","100%","6.62%","54,526","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,917","","","3,609","","","54,526",""
