"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","14,768","33.89%","89.50%","1,732","58.43%","10.50%","16,500","35.46%"
"Black","26,787","61.48%","95.79%","1,176","39.68%","4.21%","27,963","60.09%"
"Other","7",".02%","77.78%","2",".07%","22.22%","9",".02%"
"Asian","144",".33%","96.00%","6",".20%","4.00%","150",".32%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","1,840","4.22%","97.56%","46","1.55%","2.44%","1,886","4.05%"
"Native American","23",".05%","92.00%","2",".07%","8.00%","25",".05%"
"Total Reported","43,572","100%","93.63%","2,964","100%","6.37%","46,536","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,572","","","2,964","","","46,536",""
