"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,451","34.14%","88.19%","2,336","59.27%","11.81%","19,787","35.94%"
"Black","31,343","61.33%","95.36%","1,525","38.70%","4.64%","32,868","59.71%"
"Other","54",".11%","88.52%","7",".18%","11.48%","61",".11%"
"Asian","172",".34%","93.99%","11",".28%","6.01%","183",".33%"
"Unknown","15",".03%","100.00%","0","0%","0%","15",".03%"
"Hispanic","2,053","4.02%","97.11%","61","1.55%","2.89%","2,114","3.84%"
"Native American","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Total Reported","51,109","100%","92.84%","3,941","100%","7.16%","55,050","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,109","","","3,941","","","55,050",""
