"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,915","33.49%","88.52%","2,194","57.97%","11.48%","19,109","35.19%"
"Black","31,397","62.16%","95.36%","1,526","40.32%","4.64%","32,923","60.64%"
"Other","56",".11%","90.32%","6",".16%","9.68%","62",".11%"
"Asian","172",".34%","95.56%","8",".21%","4.44%","180",".33%"
"Unknown","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Hispanic","1,934","3.83%","97.58%","48","1.27%","2.42%","1,982","3.65%"
"Native American","27",".05%","93.10%","2",".05%","6.90%","29",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,510","100%","93.03%","3,785","100%","6.97%","54,295","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,510","","","3,785","","","54,295",""
