"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,665","35.16%","89.03%","1,930","59.20%","10.97%","17,595","36.80%"
"Black","26,837","60.23%","95.48%","1,271","38.99%","4.52%","28,108","58.78%"
"Other","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"Asian","150",".34%","93.75%","10",".31%","6.25%","160",".33%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,874","4.21%","97.55%","47","1.44%","2.45%","1,921","4.02%"
"Native American","22",".05%","95.65%","1",".03%","4.35%","23",".05%"
"Total Reported","44,555","100%","93.18%","3,260","100%","6.82%","47,815","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,555","","","3,260","","","47,815",""
