"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,690","34.43%","88.09%","2,391","59.42%","11.91%","20,081","36.25%"
"Black","31,357","61.03%","95.28%","1,553","38.59%","4.72%","32,910","59.40%"
"Other","57",".11%","89.06%","7",".17%","10.94%","64",".12%"
"Asian","181",".35%","95.26%","9",".22%","4.74%","190",".34%"
"Unknown","16",".03%","100.00%","0","0%","0%","16",".03%"
"Hispanic","2,050","3.99%","97.02%","63","1.57%","2.98%","2,113","3.81%"
"Native American","24",".05%","96.00%","1",".02%","4.00%","25",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,376","100%","92.74%","4,024","100%","7.26%","55,400","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,376","","","4,024","","","55,400",""
