"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,447","34.16%","88.29%","2,315","58.65%","11.71%","19,762","35.91%"
"Black","31,335","61.35%","95.28%","1,552","39.32%","4.72%","32,887","59.77%"
"Other","55",".11%","90.16%","6",".15%","9.84%","61",".11%"
"Asian","180",".35%","94.74%","10",".25%","5.26%","190",".35%"
"Unknown","9",".02%","81.82%","2",".05%","18.18%","11",".02%"
"Hispanic","2,028","3.97%","97.03%","62","1.57%","2.97%","2,090","3.80%"
"Native American","24",".05%","100.00%","0","0%","0%","24",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,079","100%","92.83%","3,947","100%","7.17%","55,026","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,079","","","3,947","","","55,026",""
