"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,586","31.71%","88.79%","1,967","52.98%","11.21%","17,553","33.20%"
"Black","31,218","63.51%","94.93%","1,669","44.95%","5.07%","32,887","62.21%"
"Other","53",".11%","94.64%","3",".08%","5.36%","56",".11%"
"Asian","112",".23%","96.55%","4",".11%","3.45%","116",".22%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,157","4.39%","97.07%","65","1.75%","2.93%","2,222","4.20%"
"Native American","28",".06%","87.50%","4",".11%","12.50%","32",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,155","100%","92.98%","3,713","100%","7.02%","52,868","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,155","","","3,713","","","52,868",""
