"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,386","31.91%","89.33%","1,957","52.83%","10.67%","18,343","33.32%"
"Black","32,469","63.23%","95.17%","1,649","44.52%","4.83%","34,118","61.97%"
"Other","48",".09%","85.71%","8",".22%","14.29%","56",".10%"
"Asian","124",".24%","96.12%","5",".13%","3.88%","129",".23%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,298","4.47%","96.68%","79","2.13%","3.32%","2,377","4.32%"
"Native American","26",".05%","83.87%","5",".13%","16.13%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","51,353","100%","93.27%","3,704","100%","6.73%","55,057","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,353","","","3,704","","","55,057",""
