"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,041","32.41%","87.88%","2,212","55.01%","12.12%","18,253","34.11%"
"Black","30,543","61.71%","94.63%","1,732","43.07%","5.37%","32,275","60.31%"
"Other","25","0.05%","89.29%","3","0.07%","10.71%","28","0.05%"
"Asian","163","0.33%","92.61%","13","0.32%","7.39%","176","0.33%"
"Unknown","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Hispanic","2,679","5.41%","97.92%","57","1.42%","2.08%","2,736","5.11%"
"Native American","38","0.08%","90.48%","4","0.1%","9.52%","42","0.08%"
"Native Hawaiian","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Total Reported","49,493","100.00%","92.49%","4,021","100.00%","7.51%","53,514","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,493","","","4,021","","","53,514",""
