"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,029","32.30%","89.17%","2,068","53.53%","10.83%","19,097","33.75%"
"Black","33,079","62.74%","95.10%","1,703","44.08%","4.90%","34,782","61.46%"
"Other","51",".10%","87.93%","7",".18%","12.07%","58",".10%"
"Asian","151",".29%","94.38%","9",".23%","5.63%","160",".28%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,385","4.52%","96.99%","74","1.92%","3.01%","2,459","4.35%"
"Native American","31",".06%","93.94%","2",".05%","6.06%","33",".06%"
"Total Reported","52,727","100%","93.17%","3,863","100%","6.83%","56,590","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","52,727","","","3,863","","","56,590",""
