"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,375","34.11%","88.34%","2,293","58.64%","11.66%","19,668","35.86%"
"Black","31,316","61.48%","95.29%","1,547","39.57%","4.71%","32,863","59.92%"
"Other","53",".10%","89.83%","6",".15%","10.17%","59",".11%"
"Asian","180",".35%","96.77%","6",".15%","3.23%","186",".34%"
"Unknown","10",".02%","76.92%","3",".08%","23.08%","13",".02%"
"Hispanic","1,979","3.89%","97.30%","55","1.41%","2.70%","2,034","3.71%"
"Native American","23",".05%","100.00%","0","0%","0%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,937","100%","92.87%","3,910","100%","7.13%","54,847","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,937","","","3,910","","","54,847",""
