"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,486","33.28%","88.84%","2,071","56.86%","11.16%","18,557","34.90%"
"Black","30,828","62.24%","95.37%","1,498","41.13%","4.63%","32,326","60.80%"
"Other","49",".10%","92.45%","4",".11%","7.55%","53",".10%"
"Asian","160",".32%","93.57%","11",".30%","6.43%","171",".32%"
"Unknown","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Hispanic","1,977","3.99%","97.25%","56","1.54%","2.75%","2,033","3.82%"
"Native American","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Total Reported","49,530","100%","93.15%","3,642","100%","6.85%","53,172","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,530","","","3,642","","","53,172",""
