"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,004","35.24%","88.88%","2,003","59.51%","11.12%","18,007","36.91%"
"Black","27,281","60.07%","95.44%","1,302","38.68%","4.56%","28,583","58.59%"
"Other","10",".02%","76.92%","3",".09%","23.08%","13",".03%"
"Asian","156",".34%","94.55%","9",".27%","5.45%","165",".34%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,942","4.28%","97.59%","48","1.43%","2.41%","1,990","4.08%"
"Native American","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","45,419","100%","93.1%","3,366","100%","6.9%","48,785","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,419","","","3,366","","","48,785",""
