"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,058","34.47%","89.52%","1,762","59.09%","10.48%","16,820","36.04%"
"Black","26,567","60.82%","95.81%","1,161","38.93%","4.19%","27,728","59.42%"
"Other","16",".04%","94.12%","1",".03%","5.88%","17",".04%"
"Asian","141",".32%","95.27%","7",".23%","4.73%","148",".32%"
"Unknown","5",".01%","100.00%","0","0%","0%","5",".01%"
"Hispanic","1,877","4.30%","97.46%","49","1.64%","2.54%","1,926","4.13%"
"Native American","20",".05%","90.91%","2",".07%","9.09%","22",".05%"
"Total Reported","43,684","100%","93.61%","2,982","100%","6.39%","46,666","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,684","","","2,982","","","46,666",""
