"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,157","34.02%","88.54%","2,220","58.10%","11.46%","19,377","35.71%"
"Black","31,056","61.58%","95.31%","1,528","39.99%","4.69%","32,584","60.05%"
"Other","54",".11%","90.00%","6",".16%","10.00%","60",".11%"
"Asian","176",".35%","96.17%","7",".18%","3.83%","183",".34%"
"Unknown","10",".02%","76.92%","3",".08%","23.08%","13",".02%"
"Hispanic","1,960","3.89%","97.22%","56","1.47%","2.78%","2,016","3.72%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,436","100%","92.96%","3,821","100%","7.04%","54,257","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,436","","","3,821","","","54,257",""
