"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,437","34.96%","88.30%","2,178","59.15%","11.70%","18,615","36.72%"
"Black","28,339","60.28%","95.18%","1,436","39.00%","4.82%","29,775","58.73%"
"Other","15",".03%","78.95%","4",".11%","21.05%","19",".04%"
"Asian","156",".33%","93.98%","10",".27%","6.02%","166",".33%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,037","4.33%","97.56%","51","1.39%","2.44%","2,088","4.12%"
"Native American","26",".06%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Total Reported","47,013","100%","92.74%","3,682","100%","7.26%","50,695","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,013","","","3,682","","","50,695",""
