"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,538","34.32%","88.39%","2,303","58.79%","11.61%","19,841","36.06%"
"Black","31,282","61.21%","95.29%","1,545","39.44%","4.71%","32,827","59.66%"
"Other","3",".01%","60.00%","2",".05%","40.00%","5",".01%"
"Asian","183",".36%","95.31%","9",".23%","4.69%","192",".35%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,072","4.05%","97.28%","58","1.48%","2.72%","2,130","3.87%"
"Native American","28",".05%","100.00%","0","0%","0%","28",".05%"
"Total Reported","51,108","100%","92.88%","3,917","100%","7.12%","55,025","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,108","","","3,917","","","55,025",""
