"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,497","31.52%","89.24%","1,869","51.15%","10.76%","17,366","32.88%"
"Black","31,444","63.96%","94.76%","1,739","47.59%","5.24%","33,183","62.83%"
"Other","48",".10%","100.00%","0","0%","0%","48",".09%"
"Asian","101",".21%","95.28%","5",".14%","4.72%","106",".20%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,026","4.12%","98.11%","39","1.07%","1.89%","2,065","3.91%"
"Racially Mixed","11",".02%","100.00%","0","0%","0%","11",".02%"
"Native American","29",".06%","93.55%","2",".05%","6.45%","31",".06%"
"Total Reported","49,159","100%","93.08%","3,654","100%","6.92%","52,813","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,159","","","3,654","","","52,813",""
