"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,422","34.12%","88.17%","2,338","59.20%","11.83%","19,760","35.93%"
"Black","31,328","61.36%","95.34%","1,532","38.79%","4.66%","32,860","59.74%"
"Other","54",".11%","90.00%","6",".15%","10.00%","60",".11%"
"Asian","176",".34%","93.62%","12",".30%","6.38%","188",".34%"
"Unknown","15",".03%","100.00%","0","0%","0%","15",".03%"
"Hispanic","2,039","3.99%","97.14%","60","1.52%","2.86%","2,099","3.82%"
"Native American","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"Total Reported","51,054","100%","92.82%","3,949","100%","7.18%","55,003","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,054","","","3,949","","","55,003",""
