"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,173","32.91%","87.72%","2,265","56.08%","12.28%","18,438","34.67%"
"Black","30,236","61.52%","94.66%","1,704","42.19%","5.34%","31,940","60.05%"
"Other","18","0.04%","81.82%","4","0.1%","18.18%","22","0.04%"
"Asian","161","0.33%","94.15%","10","0.25%","5.85%","171","0.32%"
"Unknown","4","0.01%","100.0%","0","0%","0%","4","0.01%"
"Hispanic","2,520","5.13%","97.94%","53","1.31%","2.06%","2,573","4.84%"
"Native American","35","0.07%","92.11%","3","0.07%","7.89%","38","0.07%"
"Native Hawaiian","3","0.01%","100.0%","0","0%","0%","3","0.01%"
"Total Reported","49,150","100.00%","92.41%","4,039","100.00%","7.59%","53,189","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,150","","","4,039","","","53,189",""
