"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,381","35.08%","88.38%","2,153","59.79%","11.62%","18,534","36.85%"
"Black","28,099","60.17%","95.33%","1,377","38.24%","4.67%","29,476","58.60%"
"Other","12",".03%","70.59%","5",".14%","29.41%","17",".03%"
"Asian","158",".34%","94.61%","9",".25%","5.39%","167",".33%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,020","4.33%","97.44%","53","1.47%","2.56%","2,073","4.12%"
"Native American","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"Native Hawaiian","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Total Reported","46,697","100%","92.84%","3,601","100%","7.16%","50,298","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","46,697","","","3,601","","","50,298",""
