"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,302","34.11%","88.63%","2,220","58.30%","11.37%","19,522","35.80%"
"Black","31,211","61.54%","95.37%","1,514","39.76%","4.63%","32,725","60.02%"
"Other","56",".11%","88.89%","7",".18%","11.11%","63",".12%"
"Asian","174",".34%","95.08%","9",".24%","4.92%","183",".34%"
"Unknown","11",".02%","78.57%","3",".08%","21.43%","14",".03%"
"Hispanic","1,941","3.83%","97.29%","54","1.42%","2.71%","1,995","3.66%"
"Native American","23",".05%","95.83%","1",".03%","4.17%","24",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,719","100%","93.02%","3,808","100%","6.98%","54,527","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,719","","","3,808","","","54,527",""
