"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,318","34.15%","88.18%","2,188","58.47%","11.82%","18,506","35.92%"
"Black","29,036","60.77%","95.14%","1,482","39.60%","4.86%","30,518","59.23%"
"Other","22",".05%","88.00%","3",".08%","12.00%","25",".05%"
"Asian","165",".35%","95.38%","8",".21%","4.62%","173",".34%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,205","4.61%","97.48%","57","1.52%","2.52%","2,262","4.39%"
"Native American","32",".07%","94.12%","2",".05%","5.88%","34",".07%"
"Native Hawaiian","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Total Reported","47,781","100%","92.74%","3,742","100%","7.26%","51,523","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,781","","","3,742","","","51,523",""
