"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,385","34.80%","88.27%","2,178","58.85%","11.73%","18,563","36.56%"
"Black","28,416","60.36%","95.13%","1,454","39.29%","4.87%","29,870","58.82%"
"Other","17",".04%","80.95%","4",".11%","19.05%","21",".04%"
"Asian","162",".34%","94.74%","9",".24%","5.26%","171",".34%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,066","4.39%","97.50%","53","1.43%","2.50%","2,119","4.17%"
"Native American","28",".06%","96.55%","1",".03%","3.45%","29",".06%"
"Native Hawaiian","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Total Reported","47,078","100%","92.71%","3,701","100%","7.29%","50,779","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,078","","","3,701","","","50,779",""
