"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,043","32.37%","89.32%","1,919","54.55%","10.68%","17,962","33.84%"
"Black","31,134","62.83%","95.33%","1,526","43.38%","4.67%","32,660","61.54%"
"Other","43",".09%","86.00%","7",".20%","14.00%","50",".09%"
"Asian","157",".32%","93.45%","11",".31%","6.55%","168",".32%"
"Unknown","5",".01%","100.00%","0","0%","0%","5",".01%"
"Hispanic","2,147","4.33%","97.55%","54","1.53%","2.45%","2,201","4.15%"
"Native American","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,556","100%","93.37%","3,518","100%","6.63%","53,074","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,556","","","3,518","","","53,074",""
