"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,167","35.27%","88.70%","2,060","59.94%","11.30%","18,227","36.99%"
"Black","27,539","60.09%","95.44%","1,316","38.29%","4.56%","28,855","58.57%"
"Other","9",".02%","75.00%","3",".09%","25.00%","12",".02%"
"Asian","156",".34%","94.55%","9",".26%","5.45%","165",".33%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,934","4.22%","97.58%","48","1.40%","2.42%","1,982","4.02%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","45,832","100%","93.02%","3,437","100%","6.98%","49,269","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,832","","","3,437","","","49,269",""
