"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,498","34.02%","89.09%","2,021","57.91%","10.91%","18,519","35.62%"
"Black","29,803","61.45%","95.49%","1,406","40.29%","4.51%","31,209","60.03%"
"Other","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"Asian","165",".34%","95.38%","8",".23%","4.62%","173",".33%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,001","4.13%","97.37%","54","1.55%","2.63%","2,055","3.95%"
"Native American","24",".05%","100.00%","0","0%","0%","24",".05%"
"Total Reported","48,496","100%","93.29%","3,490","100%","6.71%","51,986","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,496","","","3,490","","","51,986",""
