"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,360","31.96%","89.31%","1,959","52.70%","10.69%","18,319","33.37%"
"Black","32,299","63.10%","95.12%","1,658","44.61%","4.88%","33,957","61.85%"
"Other","47",".09%","85.45%","8",".22%","14.55%","55",".10%"
"Asian","128",".25%","96.24%","5",".13%","3.76%","133",".24%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,326","4.54%","96.63%","81","2.18%","3.37%","2,407","4.38%"
"Native American","25",".05%","83.33%","5",".13%","16.67%","30",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","51,187","100%","93.23%","3,717","100%","6.77%","54,904","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,187","","","3,717","","","54,904",""
