"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,976","32.26%","89.39%","1,897","54.57%","10.61%","17,873","33.72%"
"Black","31,157","62.91%","95.40%","1,504","43.27%","4.60%","32,661","61.62%"
"Other","39",".08%","86.67%","6",".17%","13.33%","45",".08%"
"Asian","144",".29%","92.31%","12",".35%","7.69%","156",".29%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,181","4.40%","97.58%","54","1.55%","2.42%","2,235","4.22%"
"Native American","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"Total Reported","49,524","100%","93.44%","3,476","100%","6.56%","53,000","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,524","","","3,476","","","53,000",""
