"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,479","33.28%","89.10%","2,016","56.22%","10.90%","18,495","34.83%"
"Black","30,840","62.28%","95.35%","1,503","41.91%","4.65%","32,343","60.91%"
"Other","49",".10%","92.45%","4",".11%","7.55%","53",".10%"
"Asian","160",".32%","93.57%","11",".31%","6.43%","171",".32%"
"Unknown","7",".01%","87.50%","1",".03%","12.50%","8",".02%"
"Hispanic","1,958","3.95%","97.51%","50","1.39%","2.49%","2,008","3.78%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,516","100%","93.25%","3,586","100%","6.75%","53,102","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,516","","","3,586","","","53,102",""
