"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,234","32.29%","89.23%","2,080","53.73%","10.77%","19,314","33.74%"
"Black","33,542","62.84%","95.18%","1,697","43.84%","4.82%","35,239","61.56%"
"Other","48",".09%","88.89%","6",".15%","11.11%","54",".09%"
"Asian","151",".28%","93.79%","10",".26%","6.21%","161",".28%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,367","4.43%","96.89%","76","1.96%","3.11%","2,443","4.27%"
"Native American","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"Total Reported","53,373","100%","93.24%","3,871","100%","6.76%","57,244","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,373","","","3,871","","","57,244",""
