"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,576","31.76%","89.21%","1,883","52.44%","10.79%","17,459","33.17%"
"Black","31,124","63.46%","95.04%","1,625","45.25%","4.96%","32,749","62.21%"
"Other","50",".10%","90.91%","5",".14%","9.09%","55",".10%"
"Asian","118",".24%","96.72%","4",".11%","3.28%","122",".23%"
"Hispanic","2,155","4.39%","96.85%","70","1.95%","3.15%","2,225","4.23%"
"Native American","25",".05%","89.29%","3",".08%","10.71%","28",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,048","100%","93.18%","3,591","100%","6.82%","52,639","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,048","","","3,591","","","52,639",""
