"Marital Status","Count","Col %","Row %","Count","Col %","Row %","Total","Col %"
"Single","27,883","60.85%","94.44%","1,641","53.31%","5.56%","29,524","60.38%"
"Married","5,750","12.55%","92.82%","445","14.46%","7.18%","6,195","12.67%"
"Separated
1 2 3 4 5 6","2,418","5.28%","88.02%","329","10.69%","11.98%","2,747","5.62%"
"Divorced","5,671","12.38%","92.85%","437","14.20%","7.15%","6,108","12.49%"
"Widowed","550","1.20%","82.71%","115","3.74%","17.29%","665","1.36%"
"Common Law","3,547","7.74%","96.97%","111","3.61%","3.03%","3,658","7.48%"
"Total Reported","45,819","100%","93.71%","3,078","100%","6.29%","48,897","100%"
"Not Reported","1,882","","","272","","","2,154",""
"Grand Total","47,701","","","3,350","","","51,051",""
