"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,282","34.84%","89.54%","1,786","58.91%","10.46%","17,068","36.40%"
"Black","26,483","60.38%","95.70%","1,189","39.22%","4.30%","27,672","59.01%"
"Other","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"Asian","150",".34%","96.15%","6",".20%","3.85%","156",".33%"
"Unknown","5",".01%","100.00%","0","0%","0%","5",".01%"
"Hispanic","1,902","4.34%","97.54%","48","1.58%","2.46%","1,950","4.16%"
"Native American","20",".05%","90.91%","2",".07%","9.09%","22",".05%"
"Total Reported","43,860","100%","93.53%","3,032","100%","6.47%","46,892","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,860","","","3,032","","","46,892",""
