"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,338","32.70%","89.27%","1,964","55.26%","10.73%","18,302","34.20%"
"Black","31,316","62.69%","95.39%","1,512","42.54%","4.61%","32,828","61.35%"
"Other","40",".08%","86.96%","6",".17%","13.04%","46",".09%"
"Asian","162",".32%","91.53%","15",".42%","8.47%","177",".33%"
"Unknown","6",".01%","100.00%","0","0%","0%","6",".01%"
"Hispanic","2,068","4.14%","97.41%","55","1.55%","2.59%","2,123","3.97%"
"Native American","26",".05%","92.86%","2",".06%","7.14%","28",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,957","100%","93.36%","3,554","100%","6.64%","53,511","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,957","","","3,554","","","53,511",""
