"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","7",".01%","100.00%","","","","7",".01%"
"153
Wheeler County","27",".05%","100.00%","","","","27",".05%"
"154
White County","90",".18%","87.38%","13",".37%","12.62%","103",".19%"
"155
Whitfield County","523","1.06%","89.86%","59","1.68%","10.14%","582","1.10%"
"156
Wilcox County","42",".08%","89.36%","5",".14%","10.64%","47",".09%"
"157
Wilkes County","77",".16%","95.06%","4",".11%","4.94%","81",".15%"
"158
Wilkinson County","42",".08%","97.67%","1",".03%","2.33%","43",".08%"
"159
Worth County","111",".22%","94.07%","7",".20%","5.93%","118",".22%"
"Total Rported","49,556","100%","93.37%","3,518","100%","6.63%","53,074","100%"
