"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","708","1.41%","93.28%","51","1.36%","6.72%","759","1.41%"
"077
Irwin County","79",".16%","98.75%","1",".03%","1.25%","80",".15%"
"078
Jackson County","248",".50%","93.23%","18",".48%","6.77%","266",".49%"
"079
Jasper County","58",".12%","93.55%","4",".11%","6.45%","62",".12%"
"080
Jeff Davis County","90",".18%","95.74%","4",".11%","4.26%","94",".17%"
"081
Jefferson County","156",".31%","97.50%","4",".11%","2.50%","160",".30%"
"082
Jenkins County","91",".18%","95.79%","4",".11%","4.21%","95",".18%"
"083
Johnson County","45",".09%","97.83%","1",".03%","2.17%","46",".09%"
"084
Jones County","188",".38%","89.52%","22",".59%","10.48%","210",".39%"
"085
Lamar County","71",".14%","88.75%","9",".24%","11.25%","80",".15%"
"086
Lanier County","53",".11%","100.00%","","","","53",".10%"
"087
Laurens County","280",".56%","94.28%","17",".45%","5.72%","297",".55%"
"088
Lee County","67",".13%","89.33%","8",".21%","10.67%","75",".14%"
"089
Liberty County","250",".50%","92.59%","20",".53%","7.41%","270",".50%"
"090
Lincoln County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"091
Long County","76",".15%","89.41%","9",".24%","10.59%","85",".16%"
"092
Lowndes County","518","1.03%","95.75%","23",".61%","4.25%","541","1.01%"
"093
Lumpkin County","91",".18%","92.86%","7",".19%","7.14%","98",".18%"
"094
Macon County","63",".13%","100.00%","","","","63",".12%"
"095
Madison County","136",".27%","91.89%","12",".32%","8.11%","148",".28%"
"096
Marion County","23",".05%","92.00%","2",".05%","8.00%","25",".05%"
"097
Mcduffie County","192",".38%","94.12%","12",".32%","5.88%","204",".38%"
"098
Mcintosh County","51",".10%","100.00%","","","","51",".09%"
"099
Meriwether County","180",".36%","90.45%","19",".51%","9.55%","199",".37%"
"100
Miller County","30",".06%","96.77%","1",".03%","3.23%","31",".06%"
"101
Mitchell County","160",".32%","91.95%","14",".37%","8.05%","174",".32%"
"102
Monroe County","135",".27%","88.24%","18",".48%","11.76%","153",".28%"
"103
Montgomery County","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"104
Morgan County","151",".30%","92.07%","13",".35%","7.93%","164",".30%"
"105
Murray County","172",".34%","92.47%","14",".37%","7.53%","186",".35%"
"106
Muscogee County","1,230","2.46%","94.54%","71","1.89%","5.46%","1,301","2.42%"
"107
Newton County","698","1.39%","91.84%","62","1.65%","8.16%","760","1.41%"
"108
Oconee County","55",".11%","96.49%","2",".05%","3.51%","57",".11%"
"109
Oglethorpe County","61",".12%","96.83%","2",".05%","3.17%","63",".12%"
"110
Paulding County","240",".48%","90.91%","24",".64%","9.09%","264",".49%"
"111
Peach County","90",".18%","94.74%","5",".13%","5.26%","95",".18%"
"112
Pickens County","80",".16%","87.91%","11",".29%","12.09%","91",".17%"
"113
Pierce County","92",".18%","96.84%","3",".08%","3.16%","95",".18%"
