"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","42",".08%","89.36%","5",".13%","10.64%","47",".09%"
"115
Polk County","197",".39%","92.92%","15",".39%","7.08%","212",".39%"
"116
Pulaski County","52",".10%","96.30%","2",".05%","3.70%","54",".10%"
"117
Putnam County","162",".32%","92.05%","14",".37%","7.95%","176",".32%"
"118
Quitman County","17",".03%","100.00%","","","","17",".03%"
"119
Rabun County","49",".10%","89.09%","6",".16%","10.91%","55",".10%"
"120
Randolph County","63",".12%","98.44%","1",".03%","1.56%","64",".12%"
"121
Richmond County","1,967","3.90%","93.31%","141","3.69%","6.69%","2,108","3.89%"
"122
Rockdale County","486",".96%","91.70%","44","1.15%","8.30%","530",".98%"
"123
Schley County","13",".03%","86.67%","2",".05%","13.33%","15",".03%"
"124
Screven County","118",".23%","96.72%","4",".10%","3.28%","122",".22%"
"125
Seminole County","70",".14%","84.34%","13",".34%","15.66%","83",".15%"
"126
Spalding County","513","1.02%","93.78%","34",".89%","6.22%","547","1.01%"
"127
Stephens County","165",".33%","86.84%","25",".65%","13.16%","190",".35%"
"128
Stewart County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"129
Sumter County","189",".37%","95.45%","9",".24%","4.55%","198",".36%"
"130
Talbot County","34",".07%","89.47%","4",".10%","10.53%","38",".07%"
"131
Taliaferro County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"132
Tattnall County","190",".38%","93.14%","14",".37%","6.86%","204",".38%"
"133
Taylor County","66",".13%","90.41%","7",".18%","9.59%","73",".13%"
"134
Telfair County","99",".20%","96.12%","4",".10%","3.88%","103",".19%"
"135
Terrell County","90",".18%","94.74%","5",".13%","5.26%","95",".18%"
"136
Thomas County","204",".40%","97.14%","6",".16%","2.86%","210",".39%"
"137
Tift County","338",".67%","95.48%","16",".42%","4.52%","354",".65%"
"138
Toombs County","321",".64%","91.45%","30",".79%","8.55%","351",".65%"
"139
Towns County","56",".11%","77.78%","16",".42%","22.22%","72",".13%"
"140
Treutlen County","78",".15%","95.12%","4",".10%","4.88%","82",".15%"
"141
Troup County","648","1.28%","91.14%","63","1.65%","8.86%","711","1.31%"
"142
Turner County","64",".13%","95.52%","3",".08%","4.48%","67",".12%"
"143
Twiggs County","48",".10%","94.12%","3",".08%","5.88%","51",".09%"
"144
Union County","100",".20%","82.64%","21",".55%","17.36%","121",".22%"
"145
Upson County","169",".34%","93.89%","11",".29%","6.11%","180",".33%"
"146
Walker County","429",".85%","90.51%","45","1.18%","9.49%","474",".87%"
"147
Walton County","543","1.08%","90.80%","55","1.44%","9.20%","598","1.10%"
"148
Ware County","325",".64%","92.86%","25",".65%","7.14%","350",".65%"
"149
Warren County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"150
Washington County","184",".36%","90.64%","19",".50%","9.36%","203",".37%"
"151
Wayne County","158",".31%","92.94%","12",".31%","7.06%","170",".31%"
