"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","197",".38%","93.81%","13",".32%","6.19%","210",".38%"
"Appling County","119",".23%","94.44%","7",".17%","5.56%","126",".23%"
"Atkinson County","58",".11%","89.23%","7",".17%","10.77%","65",".12%"
"Bacon County","95",".18%","92.23%","8",".20%","7.77%","103",".19%"
"Baker County","10",".02%","90.91%","1",".02%","9.09%","11",".02%"
"Baldwin County","316",".61%","92.40%","26",".64%","7.60%","342",".61%"
"Banks County","75",".15%","92.59%","6",".15%","7.41%","81",".15%"
"Barrow County","359",".70%","91.35%","34",".84%","8.65%","393",".71%"
"Bartow County","637","1.23%","86.78%","97","2.39%","13.22%","734","1.32%"
"Ben Hill County","251",".49%","94.01%","16",".39%","5.99%","267",".48%"
"Berrien County","93",".18%","94.90%","5",".12%","5.10%","98",".18%"
"Bibb County","1,180","2.29%","94.25%","72","1.78%","5.75%","1,252","2.25%"
"Bleckley County","68",".13%","93.15%","5",".12%","6.85%","73",".13%"
"Brantley County","97",".19%","85.84%","16",".39%","14.16%","113",".20%"
"Brooks County","52",".10%","98.11%","1",".02%","1.89%","53",".10%"
"Bryan County","57",".11%","96.61%","2",".05%","3.39%","59",".11%"
"Bulloch County","540","1.05%","92.62%","43","1.06%","7.38%","583","1.05%"
"Burke County","234",".45%","97.10%","7",".17%","2.90%","241",".43%"
"Butts County","122",".24%","93.13%","9",".22%","6.87%","131",".24%"
"Calhoun County","30",".06%","88.24%","4",".10%","11.76%","34",".06%"
"Camden County","198",".38%","92.52%","16",".39%","7.48%","214",".38%"
"Candler County","113",".22%","94.17%","7",".17%","5.83%","120",".22%"
"Carroll County","633","1.23%","91.34%","60","1.48%","8.66%","693","1.25%"
"Catoosa County","363",".70%","89.85%","41","1.01%","10.15%","404",".73%"
"Charlton County","72",".14%","93.51%","5",".12%","6.49%","77",".14%"
"Chatham County","1,933","3.75%","94.89%","104","2.56%","5.11%","2,037","3.66%"
"Chattahoochee County","24",".05%","100.00%","","","","24",".04%"
"Chattooga County","240",".47%","87.59%","34",".84%","12.41%","274",".49%"
"Cherokee County","582","1.13%","90.94%","58","1.43%","9.06%","640","1.15%"
"Clarke County","569","1.10%","92.97%","43","1.06%","7.03%","612","1.10%"
"Clay County","22",".04%","84.62%","4",".10%","15.38%","26",".05%"
"Clayton County","1,391","2.70%","93.48%","97","2.39%","6.52%","1,488","2.67%"
"Clinch County","46",".09%","92.00%","4",".10%","8.00%","50",".09%"
"Cobb County","2,616","5.07%","92.05%","226","5.57%","7.95%","2,842","5.11%"
"Coffee County","220",".43%","94.42%","13",".32%","5.58%","233",".42%"
"Colquitt County","227",".44%","96.60%","8",".20%","3.40%","235",".42%"
"Columbia County","438",".85%","90.87%","44","1.08%","9.13%","482",".87%"
"Cook County","119",".23%","92.97%","9",".22%","7.03%","128",".23%"
