"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","70",".15%","97.22%","2",".06%","2.78%","72",".14%"
"78
Jackson","207",".43%","92.83%","16",".47%","7.17%","223",".44%"
"79
Jasper","56",".12%","94.92%","3",".09%","5.08%","59",".12%"
"80
Jeff Davis","65",".14%","94.20%","4",".12%","5.80%","69",".14%"
"81
Jefferson","103",".22%","96.26%","4",".12%","3.74%","107",".21%"
"82
Jenkins","72",".15%","93.51%","5",".15%","6.49%","77",".15%"
"83
Johnson","59",".12%","95.16%","3",".09%","4.84%","62",".12%"
"84
Jones","131",".27%","94.24%","8",".24%","5.76%","139",".27%"
"85
Lamar","83",".17%","92.22%","7",".21%","7.78%","90",".18%"
"86
Lanier","40",".08%","90.91%","4",".12%","9.09%","44",".09%"
"87
Laurens","299",".63%","92.86%","23",".68%","7.14%","322",".63%"
"88
Lee","68",".14%","97.14%","2",".06%","2.86%","70",".14%"
"89
Liberty","257",".54%","94.49%","15",".44%","5.51%","272",".53%"
"90
Lincoln","39",".08%","100.00%","","","","39",".08%"
"91
Long","85",".18%","96.59%","3",".09%","3.41%","88",".17%"
"92
Lowndes","604","1.27%","95.27%","30",".89%","4.73%","634","1.24%"
"93
Lumpkin","92",".19%","92.00%","8",".24%","8.00%","100",".20%"
"94
Macon","70",".15%","94.59%","4",".12%","5.41%","74",".14%"
"95
Madison","141",".30%","94.63%","8",".24%","5.37%","149",".29%"
"96
Marion","57",".12%","93.44%","4",".12%","6.56%","61",".12%"
"97
Mcduffie","197",".41%","95.17%","10",".30%","4.83%","207",".41%"
"98
Mcintosh","68",".14%","97.14%","2",".06%","2.86%","70",".14%"
"99
Meriwether","188",".39%","94.47%","11",".33%","5.53%","199",".39%"
"100
Miller","34",".07%","97.14%","1",".03%","2.86%","35",".07%"
"101
Mitchell","172",".36%","91.49%","16",".47%","8.51%","188",".37%"
"102
Monroe","181",".38%","92.82%","14",".41%","7.18%","195",".38%"
"103
Montgomery","46",".10%","97.87%","1",".03%","2.13%","47",".09%"
"104
Morgan","84",".18%","91.30%","8",".24%","8.70%","92",".18%"
"105
Murray","258",".54%","92.14%","22",".65%","7.86%","280",".55%"
"106
Muscogee","1,760","3.69%","93.92%","114","3.38%","6.08%","1,874","3.67%"
"107
Newton","526","1.10%","92.12%","45","1.33%","7.88%","571","1.12%"
"108
Oconee","54",".11%","96.43%","2",".06%","3.57%","56",".11%"
"109
Oglethorpe","54",".11%","93.10%","4",".12%","6.90%","58",".11%"
"110
Paulding","215",".45%","93.48%","15",".44%","6.52%","230",".45%"
"111
Peach","91",".19%","98.91%","1",".03%","1.09%","92",".18%"
"112
Pickens","81",".17%","93.10%","6",".18%","6.90%","87",".17%"
"113
Pierce","55",".12%","98.21%","1",".03%","1.79%","56",".11%"
"114
Pike","47",".10%","94.00%","3",".09%","6.00%","50",".10%"
