"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","","Col %  Row %","Total","Col %"
"77
Irwin","63",".14%","96.92%","2",".07%","3.08%","65",".14%"
"78
Jackson","219",".48%","92.02%","19",".71%","7.98%","238",".50%"
"79
Jasper","53",".12%","96.36%","2",".07%","3.64%","55",".11%"
"80
Jeff Davis","59",".13%","90.77%","6",".22%","9.23%","65",".14%"
"81
Jefferson","99",".22%","97.06%","3",".11%","2.94%","102",".21%"
"82
Jenkins","70",".15%","92.11%","6",".22%","7.89%","76",".16%"
"83
Johnson","49",".11%","98.00%","1",".04%","2.00%","50",".10%"
"84
Jones","108",".24%","93.10%","8",".30%","6.90%","116",".24%"
"85
Lamar","84",".19%","94.38%","5",".19%","5.62%","89",".19%"
"86
Lanier","37",".08%","92.50%","3",".11%","7.50%","40",".08%"
"87
Laurens","242",".54%","94.16%","15",".56%","5.84%","257",".54%"
"88
Lee","46",".10%","95.83%","2",".07%","4.17%","48",".10%"
"89
Liberty","241",".53%","94.51%","14",".52%","5.49%","255",".53%"
"90
Lincoln","43",".10%","95.56%","2",".07%","4.44%","45",".09%"
"91
Long","80",".18%","90.91%","8",".30%","9.09%","88",".18%"
"92
Lowndes","526","1.16%","95.99%","22",".82%","4.01%","548","1.14%"
"93
Lumpkin","63",".14%","92.65%","5",".19%","7.35%","68",".14%"
"94
Macon","73",".16%","98.65%","1",".04%","1.35%","74",".15%"
"95
Madison","126",".28%","91.30%","12",".45%","8.70%","138",".29%"
"96
Marion","36",".08%","92.31%","3",".11%","7.69%","39",".08%"
"97
Mcduffie","195",".43%","93.30%","14",".52%","6.70%","209",".44%"
"98
Mcintosh","70",".15%","100.00%","","","","70",".15%"
"99
Meriwether","173",".38%","94.02%","11",".41%","5.98%","184",".38%"
"100
Miller","27",".06%","96.43%","1",".04%","3.57%","28",".06%"
"101
Mitchell","186",".41%","92.08%","16",".59%","7.92%","202",".42%"
"102
Monroe","158",".35%","94.61%","9",".33%","5.39%","167",".35%"
"103
Montgomery","42",".09%","93.33%","3",".11%","6.67%","45",".09%"
"104
Morgan","84",".19%","97.67%","2",".07%","2.33%","86",".18%"
"105
Murray","180",".40%","93.26%","13",".48%","6.74%","193",".40%"
"106
Muscogee","1,591","3.52%","94.93%","85","3.16%","5.07%","1,676","3.50%"
"107
Newton","410",".91%","94.69%","23",".86%","5.31%","433",".90%"
"108
Oconee","60",".13%","96.77%","2",".07%","3.23%","62",".13%"
"109
Oglethorpe","64",".14%","94.12%","4",".15%","5.88%","68",".14%"
"110
Paulding","170",".38%","93.41%","12",".45%","6.59%","182",".38%"
"111
Peach","87",".19%","98.86%","1",".04%","1.14%","88",".18%"
"112
Pickens","86",".19%","96.63%","3",".11%","3.37%","89",".19%"
"113
Pierce","54",".12%","96.43%","2",".07%","3.57%","56",".12%"
"114
Pike","44",".10%","91.67%","4",".15%","8.33%","48",".10%"
