"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","680","1.32%","93.02%","51","1.27%","6.98%","731","1.32%"
"077
Irwin County","73",".14%","94.81%","4",".10%","5.19%","77",".14%"
"078
Jackson County","280",".55%","93.02%","21",".52%","6.98%","301",".54%"
"079
Jasper County","66",".13%","90.41%","7",".17%","9.59%","73",".13%"
"080
Jeff Davis County","95",".18%","93.14%","7",".17%","6.86%","102",".18%"
"081
Jefferson County","171",".33%","92.93%","13",".32%","7.07%","184",".33%"
"082
Jenkins County","83",".16%","94.32%","5",".12%","5.68%","88",".16%"
"083
Johnson County","41",".08%","93.18%","3",".07%","6.82%","44",".08%"
"084
Jones County","195",".38%","88.24%","26",".65%","11.76%","221",".40%"
"085
Lamar County","69",".13%","90.79%","7",".17%","9.21%","76",".14%"
"086
Lanier County","40",".08%","95.24%","2",".05%","4.76%","42",".08%"
"087
Laurens County","301",".59%","92.33%","25",".62%","7.67%","326",".59%"
"088
Lee County","77",".15%","88.51%","10",".25%","11.49%","87",".16%"
"089
Liberty County","226",".44%","95.36%","11",".27%","4.64%","237",".43%"
"090
Lincoln County","42",".08%","95.45%","2",".05%","4.55%","44",".08%"
"091
Long County","63",".12%","90.00%","7",".17%","10.00%","70",".13%"
"092
Lowndes County","459",".89%","95.23%","23",".57%","4.77%","482",".87%"
"093
Lumpkin County","100",".19%","92.59%","8",".20%","7.41%","108",".19%"
"094
Macon County","43",".08%","93.48%","3",".07%","6.52%","46",".08%"
"095
Madison County","155",".30%","89.60%","18",".45%","10.40%","173",".31%"
"096
Marion County","34",".07%","91.89%","3",".07%","8.11%","37",".07%"
"097
Mcduffie County","195",".38%","95.59%","9",".22%","4.41%","204",".37%"
"098
Mcintosh County","51",".10%","85.00%","9",".22%","15.00%","60",".11%"
"099
Meriwether County","203",".40%","92.27%","17",".42%","7.73%","220",".40%"
"100
Miller County","38",".07%","97.44%","1",".02%","2.56%","39",".07%"
"101
Mitchell County","152",".30%","93.25%","11",".27%","6.75%","163",".29%"
"102
Monroe County","148",".29%","90.80%","15",".37%","9.20%","163",".29%"
"103
Montgomery County","35",".07%","87.50%","5",".12%","12.50%","40",".07%"
"104
Morgan County","149",".29%","90.85%","15",".37%","9.15%","164",".30%"
"105
Murray County","221",".43%","92.86%","17",".42%","7.14%","238",".43%"
"106
Muscogee County","1,251","2.43%","93.99%","80","1.99%","6.01%","1,331","2.40%"
"107
Newton County","743","1.45%","91.05%","73","1.81%","8.95%","816","1.47%"
"108
Oconee County","53",".10%","100.00%","","","","53",".10%"
"109
Oglethorpe County","67",".13%","94.37%","4",".10%","5.63%","71",".13%"
"110
Paulding County","224",".44%","92.18%","19",".47%","7.82%","243",".44%"
"111
Peach County","92",".18%","95.83%","4",".10%","4.17%","96",".17%"
"112
Pickens County","115",".22%","87.12%","17",".42%","12.88%","132",".24%"
"113
Pierce County","105",".20%","93.75%","7",".17%","6.25%","112",".20%"
